School,City,State,Conference,Division,AdmissionRate,SAT,Cost,Longitude,Latitude
Northeastern University,Boston,Massachusetts,Colonial Athletic Association,D1,0.2048,1492.0,73196.0,-71.088782,42.339992
Stony Brook University,Stony Brook,New York,Colonial Athletic Association,D1,0.4891,1337.0,26270.0,-73.12046,40.91476
University of North Carolina Wilmington,Wilmington,North Carolina,Colonial Athletic Association,D1,0.6797,1226.0,24837.0,-77.875527,34.225223
College of William & Mary,Williamsburg,Virginia,Colonial Athletic Association,D1,,,,,
Cleveland State University,Cleveland,Ohio,Horizon League,D1,0.936,1088.0,24010.0,-81.674355,41.502281
University of Detroit Mercy,Detroit,Michigan,Horizon League,D1,0.795,1165.0,38440.0,-83.139158,42.414222
University of Wisconsin–Green Bay,Green Bay,Wisconsin,Horizon League,D1,0.8982,1085.0,17509.0,-87.919973,44.532298
Indiana University – Purdue University Indianapolis,Indianapolis,Indiana,Horizon League,D1,0.7854,1102.0,21127.0,-86.172217,39.772948
University of Wisconsin–Milwaukee,Milwaukee,Wisconsin,Horizon League,D1,0.787,1105.0,21984.0,-87.880488,43.076848
Northern Kentucky University,Highland Heights,Kentucky,Horizon League,D1,0.8703,1144.0,17869.0,-84.463483,39.029714
Oakland University,Auburn Hills & Rochester Hills,Michigan,Horizon League,D1,0.811,1110.0,23778.0,-83.216418,42.674573
Purdue University Fort Wayne,Fort Wayne,Indiana,Horizon League,D1,0.8278,1090.0,19224.0,-85.108962,41.117278
Robert Morris University,Moon Township,Pennsylvania,Horizon League,D1,0.8563,1140.0,47724.0,-80.210468,40.520415
Wright State University,Fairborn,Ohio,Horizon League,D1,,,,,
Chicago State University,Chicago,Illinois,Independent,D1,0.4642,887.0,21867.0,-87.609384,41.718446
University of the Incarnate Word,San Antonio & Alamo Heights,Texas,Independent,D1,0.9656,1046.0,45532.0,-98.46583,29.46708
Brown University,Providence,Rhode Island,Ivy League,D1,0.0767,1508.0,77490.0,-71.40385,41.82617
Columbia University,New York City,New York,Ivy League,D1,,,,,
Cornell University,Ithaca,New York,Ivy League,D1,0.1071,1480.0,75204.0,-76.483084,42.4472
Dartmouth College,Hanover,New Hampshire,Ivy League,D1,0.0922,1500.0,77152.0,-72.289949,43.704115
Harvard University,Boston,Massachusetts,Ivy League,D1,0.0501,1520.0,75914.0,-71.118313,42.374471
Princeton University,Princeton,New Jersey,Ivy League,D1,0.0563,1506.0,74150.0,-74.659365,40.348732
University of Pennsylvania,Philadelphia,Pennsylvania,Ivy League,D1,0.0898,1517.0,78186.0,-75.19391,39.950929
Yale University,New Haven,Connecticut,Ivy League,D1,0.0653,1520.0,76645.0,-72.926688,41.311158
Canisius College,Buffalo,New York,Metro Atlantic Athletic Conference,D1,0.7602,1152.0,39217.0,-78.852577,42.925206
Fairfield University,Fairfield,Connecticut,Metro Atlantic Athletic Conference,D1,0.5613,1281.0,67080.0,-73.255903,41.157673
Iona University,New Rochelle,New York,Metro Atlantic Athletic Conference,D1,,,,,
Manhattan College,"The Bronx, New York City",New York,Metro Atlantic Athletic Conference,D1,0.7765,,57992.0,-73.901893,40.889756
Marist College,Poughkeepsie,New York,Metro Atlantic Athletic Conference,D1,0.5505,,60670.0,-73.935484,41.720937
Mount St. Mary's University,Emmitsburg,Maryland,Metro Atlantic Athletic Conference,D1,0.8045,1082.0,57867.0,-77.351887,39.681705
Niagara University,Lewiston,New York,Metro Atlantic Athletic Conference,D1,0.9241,1118.0,47384.0,-79.036689,43.137279
Quinnipiac University,Hamden,Connecticut,Metro Atlantic Athletic Conference,D1,0.8239,,66237.0,-72.894117,41.418915
Rider University,Lawrenceville,New Jersey,Metro Atlantic Athletic Conference,D1,0.7566,1124.0,61693.0,-74.737833,40.278796
Saint Peter's University,Jersey City,New Jersey,Metro Atlantic Athletic Conference,D1,0.8464,,47570.0,-74.071541,40.727105
Siena College,Loudonville,New York,Metro Atlantic Athletic Conference,D1,0.8066,,58200.0,-73.7526,42.717602
Belmont University,Nashville,Tennessee,Missouri Valley Conference,D1,0.8323,1244.0,54595.0,-86.794807,36.135589
Bowling Green State University,Bowling Green,Ohio,Missouri Valley Conference,D1,,,,,
Bradley University,Peoria,Illinois,Missouri Valley Conference,D1,0.7328,1196.0,48295.0,-89.616786,40.696896
