School,City,State,Conference,Division,AdmissionRate,SAT,Cost,Longitude,Latitude
State University of New York at Geneseo,Geneseo,New York,State University of New York Athletic Conference,D3,0.6136,1234,26266,-77.821894,42.796645
State University of New York Maritime College,The Bronx,New York,Skyline Conference,D3,0.7271,1153,26864,-73.795309,40.807217
State University of New York at Morrisville,Morrisville,New York,United East Conference(North Atlantic Conference in 2023),D3,0.7672,973,27687,-75.640583,42.893962
State University of New York Polytechnic Institute,Marcy,New York,North Atlantic Conference,D3,0.733,1177,23194,-75.229841,43.137701
State University of New York at New Paltz,New Paltz,New York,State University of New York Athletic Conference,D3,0.6202,1187,25615,-74.082188,41.740936
State University of New York at Old Westbury,Old Westbury,New York,Skyline Conference,D3,0.5308,1015,19786,-73.571907,40.799021
State University of New York at Oneonta,Oneonta,New York,State University of New York Athletic Conference,D3,0.6295,1034,25628,-75.063632,42.468861
State University of New York at Oswego,Oswego,New York,State University of New York Athletic Conference,D3,0.689,1112,24970,-76.540798,43.454287
State University of New York at Plattsburgh,Plattsburgh,New York,State University of New York Athletic Conference,D3,0.6103,1078,25786,-73.466536,44.69293
State University of New York at Potsdam,Potsdam,New York,State University of New York Athletic Conference,D3,0.7166,,23964,-74.973815,44.662148
State University of New York at Purchase,Purchase,New York,Skyline Conference,D3,0.737,1213,27991,-73.701955,41.047223
New York University,New York,New York,University Athletic Association,D3,0.2109,1458,73759,-73.997264,40.729452
Nichols College,Dudley,Massachusetts,Commonwealth Coast Conference,D3,0.8037,,52520,-71.930283,42.044033
Northern Vermont University–Johnson,Johnson,Vermont,North Atlantic Conference,D3,0.7577,,25051,-72.671154,44.641736
Northern Vermont University–Lyndon,Lyndonville,Vermont,North Atlantic Conference,D3,0.7577,,,,
Norwich University,Northfield,Vermont,Great Northeast Athletic Conference,D3,0.7417,,59627,-72.659783,44.140237
Plymouth State University,Plymouth,New Hampshire,Little East Conference,D3,0.8937,,28222,-71.690164,43.759573
Pratt Institute,Brooklyn,New York,Coast to Coast Athletic Conference,D3,0.6594,1245,69497,-73.96431,40.691297
Regis College,Weston,Massachusetts,Great Northeast Athletic Conference,D3,0.8408,,61605,-71.310561,42.351291
Rensselaer Polytechnic Institute,Troy,New York,Liberty League,D3,0.5726,1410,73816,-73.676646,42.729978
Rhode Island College,Providence,Rhode Island,Little East Conference,D3,0.8127,988,17761,-71.46556,41.842415
Rivier University,Nashua,New Hampshire,Great Northeast Athletic Conference,D3,0.7571,,46498,-71.45626,42.738676
