School,City,State,Conference,Division,WikidataID,Score,School_doe,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude,Score_doe
Columbia University,New York City,New York,Ivy League,D1,Q49088,100.0,Columbia College,245600.0,,,37709.0,-92.326354,38.957388,100.0
Columbia University,New York City,New York,Ivy League,D1,Q49088,100.0,Columbia University in the City of New York,270700.0,0.0666,1517.0,79750.0,-73.961885,40.808286,100.0
Columbia University,New York City,New York,Ivy League,D1,Q49088,100.0,King's College,328200.0,0.8661,,52647.0,-75.879822,41.250097,100.0
Columbia University,New York City,New York,Ivy League,D1,Q49088,100.0,Columbia College,343000.0,0.9707,964.0,33178.0,-81.029967,34.045581,100.0
Columbia University,New York City,New York,Ivy League,D1,Q49088,100.0,Columbia College,4127300.0,,,,-77.249152,38.928425,100.0
Columbia University,New York City,New York,Ivy League,D1,Q49088,100.0,Columbia College,4127301.0,,,,-77.434496,38.838042,100.0
Cornell University,Ithaca,New York,Ivy League,D1,Q49115,100.0,Cornell University,271100.0,0.1071,1480.0,75204.0,-76.483084,42.4472,100.0
Dartmouth College,Hanover,New Hampshire,Ivy League,D1,Q49116,100.0,Dartmouth College,257300.0,0.0922,1500.0,77152.0,-72.289949,43.704115,100.0
Harvard University,Boston,Massachusetts,Ivy League,D1,Q13371,100.0,Harvard University,215500.0,0.0501,1520.0,75914.0,-71.118313,42.374471,100.0
Princeton University,Princeton,New Jersey,Ivy League,D1,Q21578,100.0,Princeton University,262700.0,0.0563,1506.0,74150.0,-74.659365,40.348732,100.0
Princeton University,Princeton,New Jersey,Ivy League,D1,Q21578,100.0,The College of New Jersey,264200.0,0.5125,1240.0,35502.0,-74.778791,40.268651,91.0
Princeton University,Princeton,New Jersey,Ivy League,D1,Q21578,100.0,Jersey College,4134100.0,0.3425,,,-74.057936,40.862137,80.0
Princeton University,Princeton,New Jersey,Ivy League,D1,Q21578,100.0,Jersey College,4134101.0,0.3425,,,,,80.0
Princeton University,Princeton,New Jersey,Ivy League,D1,Q21578,100.0,Jersey College,4134102.0,0.3425,,,,,80.0
Princeton University,Princeton,New Jersey,Ivy League,D1,Q21578,100.0,Jersey College,4134103.0,0.3425,,,,,80.0
Princeton University,Princeton,New Jersey,Ivy League,D1,Q21578,100.0,Jersey College,4134104.0,0.3425,,,,,80.0
Princeton University,Princeton,New Jersey,Ivy League,D1,Q21578,100.0,Jersey College,4134105.0,0.3425,,,,,80.0
University of Pennsylvania,Philadelphia,Pennsylvania,Ivy League,D1,Q49117,100.0,University of Pennsylvania,337800.0,0.0898,1517.0,78186.0,-75.19391,39.950929,100.0
Yale University,New Haven,Connecticut,Ivy League,D1,Q49112,100.0,Yale University,142600.0,0.0653,1520.0,76645.0,-72.926688,41.311158,100.0
Canisius College,Buffalo,New York,Metro Atlantic Athletic Conference,D1,Q1033335,100.0,Canisius College,268100.0,0.7602,1152.0,39217.0,-78.852577,42.925206,100.0
Fairfield University,Fairfield,Connecticut,Metro Atlantic Athletic Conference,D1,Q1393265,100.0,Fairfield University,138500.0,0.5613,1281.0,67080.0,-73.255903,41.157673,100.0
Iona University,New Rochelle,New York,Metro Atlantic Athletic Conference,D1,Q6063486,88.0,Iona College,273700.0,0.8595,1107.0,54052.0,-73.788046,40.925725,100.0
Manhattan College,"The Bronx, New York City",New York,Metro Atlantic Athletic Conference,D1,Q2749572,100.0,Manhattan College,275800.0,0.7765,,57992.0,-73.901893,40.889756,100.0
Marist College,Poughkeepsie,New York,Metro Atlantic Athletic Conference,D1,Q7592865,71.0,Marist College,276500.0,0.5505,,60670.0,-73.935484,41.720937,71.0
Mount St. Mary's University,Emmitsburg,Maryland,Metro Atlantic Athletic Conference,D1,Q6923804,100.0,Mount Saint Mary's University,124300.0,0.8933,1014.0,57689.0,-118.482879,34.085315,100.0
Mount St. Mary's University,Emmitsburg,Maryland,Metro Atlantic Athletic Conference,D1,Q6923804,100.0,Mount St. Mary's University,208600.0,0.8045,1082.0,57867.0,-77.351887,39.681705,100.0
Niagara University,Lewiston,New York,Metro Atlantic Athletic Conference,D1,Q3551657,100.0,Niagara University,278800.0,0.9241,1118.0,47384.0,-79.036689,43.137279,100.0
Quinnipiac University,Hamden,Connecticut,Metro Atlantic Athletic Conference,D1,Q1030044,100.0,Quinnipiac University,140200.0,0.8239,,66237.0,-72.894117,41.418915,100.0
Rider University,Lawrenceville,New Jersey,Metro Atlantic Athletic Conference,D1,Q3551664,100.0,Rider University,262800.0,0.7566,1124.0,61693.0,-74.737833,40.278796,100.0
Saint Peter's University,Jersey City,New Jersey,Metro Atlantic Athletic Conference,D1,Q3443737,100.0,Saint Peter's University,263800.0,0.8464,,47570.0,-74.071541,40.727105,100.0
Siena College,Loudonville,New York,Metro Atlantic Athletic Conference,D1,Q768054,100.0,Siena College,281600.0,0.8066,,58200.0,-73.7526,42.717602,100.0
Belmont University,Nashville,Tennessee,Missouri Valley Conference,D1,Q3298359,100.0,Belmont College,994100.0,,,10242.0,-80.964901,40.07695,100.0
Belmont University,Nashville,Tennessee,Missouri Valley Conference,D1,Q3298359,100.0,Belmont University,347900.0,0.8323,1244.0,54595.0,-86.794807,36.135589,100.0
Bowling Green State University,Bowling Green,Ohio,Missouri Valley Conference,D1,Q895457,100.0,,,,,,,,
Bradley University,Peoria,Illinois,Missouri Valley Conference,D1,Q897052,100.0,Bradley University,164100.0,0.7328,1196.0,48295.0,-89.616786,40.696896,100.0
Drake University,Des Moines,Iowa,Missouri Valley Conference,D1,Q5305629,100.0,Drake University,186000.0,0.6792,1254.0,57643.0,-93.652163,41.60129,100.0
University of Evansville,Evansville,Indiana,Missouri Valley Conference,D1,Q4026988,100.0,University of Evansville,179500.0,0.643,,50986.0,-87.531644,37.971549,100.0
