School,City,State,Conference,Division,StateCode,DOESchool,DOECity,DOEStateCode,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude,Lev
Rockhurst University,Kansas City,Missouri,Great Lakes Valley Conference,D2,MO,Rockhurst University,Kansas City,MO,00249900,0.7289,1167.0,53221.0,-94.573003,39.032318,0
Rogers State University,Claremore,Oklahoma,Great American Conference,D2,OK,Rogers State University,Claremore,OK,00316800,,,20029.0,-95.635718,36.321437,0
Rollins College,Winter Park,Florida,Sunshine State Conference,D2,FL,Rollins College,Winter Park,FL,00151500,0.6081,,66805.0,-81.349239,28.592787,0
Saginaw Valley State University,University Center,Michigan,Great Lakes Intercollegiate Athletic Conference,D2,MI,Saginaw Valley State University,University Center,MI,00231400,0.8946,1086.0,22353.0,-83.964273,43.51176,0
Saint Anselm College,Goffstown,New Hampshire,Northeast-10 Conference,D2,NH,Saint Anselm College,Manchester,NH,00258700,0.7615,1230.0,61163.0,-71.503622,42.986889,0
Saint Leo University,St. Leo,Florida,Sunshine State Conference,D2,FL,Saint Leo University,Saint Leo,FL,00152600,0.73,,38890.0,-82.257801,28.336776,0
Saint Martin's University,Lacey,Washington,Great Northwest Athletic Conference,D2,WA,Saint Martin's University,Lacey,WA,00379400,0.9419,1043.0,52603.0,-122.816354,47.041068,0
St. Mary's University,San Antonio,Texas,Lone Star Conference,D2,TX,St. Mary's University,San Antonio,TX,00362300,0.8543,1127.0,42354.0,-98.562778,29.453244,0
Saint Michael's College,Colchester,Vermont,Northeast-10 Conference,D2,VT,Saint Michael's College,Colchester,VT,00369400,0.8781,,61892.0,-73.167069,44.494558,0
College of Saint Rose,Albany,New York,Northeast-10 Conference,D2,NY,The College of Saint Rose,Albany,NY,00270500,0.8188,,48125.0,-73.786661,42.664297,0
St. Thomas Aquinas College,Sparkill,New York,East Coast Conference,D2,NY,St. Thomas Aquinas College,Sparkill,NY,00283200,0.8684,1036.0,47572.0,-73.936799,41.041576,0
Salem University,Salem,West Virginia,Independent,D2,WV,Salem University,Salem,WV,00382000,,,27336.0,-80.571767,39.288632,0
San Francisco State University,San Francisco,California,California Collegiate Athletic Association,D2,CA,San Francisco State University,San Francisco,CA,00115400,0.8409,1030.0,24513.0,-122.476799,37.721224,0
Seattle Pacific University,Seattle,Washington,Great Northwest Athletic Conference,D2,WA,Seattle Pacific University,Seattle,WA,00378800,0.9062,1109.0,60834.0,-122.361667,47.650214,0
Seton Hill University,Greensburg,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA,Seton Hill University,Greensburg,PA,00336200,0.7867,,50395.0,-79.557433,40.309407,0
Shaw University,Raleigh,North Carolina,Independent,D2,NC,Shaw University,Raleigh,NC,00296200,0.7056,,29686.0,-78.637693,35.771181,0
Shepherd University,Shepherdstown,West Virginia,Pennsylvania State Athletic Conference,D2,WV,Shepherd University,Shepherdstown,WV,00382200,0.977,,17759.0,-77.804101,39.433071,0
Shippensburg University of Pennsylvania,Shippensburg,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA,Shippensburg University of Pennsylvania,Shippensburg,PA,00332600,0.9392,1042.0,29182.0,-77.522335,40.057933,0
Shorter University,Rome,Georgia,Gulf South Conference,D2,GA,Shorter University,Rome,GA,00159100,0.7093,1071.0,34403.0,-85.196529,34.257543,0
Slippery Rock University of Pennsylvania,Slippery Rock,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA,Slippery Rock University of Pennsylvania,Slippery Rock,PA,00332700,0.7398,1075.0,24600.0,-80.045965,41.062719,0
Sonoma State University,Rohnert Park,California,California Collegiate Athletic Association,D2,CA,Sonoma State University,Rohnert Park,CA,00115600,0.8912,1050.0,26537.0,-122.677066,38.340274,0
University of South Carolina Aiken,Aiken,South Carolina,Peach Belt Conference,D2,SC,University of South Carolina Aiken,Aiken,SC,00344900,0.5588,1062.0,20735.0,-81.767612,33.572704,0
South Dakota School of Mines and Technology,Rapid City,South Dakota,Rocky Mountain Athletic Conference,D2,SD,South Dakota School of Mines and Technology,Rapid City,SD,00347000,0.8555,1266.0,25078.0,-103.205753,44.075439,0
Southern Connecticut State University,New Haven,Connecticut,Northeast-10 Conference,D2,CT,Southern Connecticut State University,New Haven,CT,00140600,0.7968,,25413.0,-72.947897,41.333225,0
Southern Nazarene University,Bethany,Oklahoma,Great American Conference,D2,OK,Southern Nazarene University,Bethany,OK,00314900,,,38327.0,-97.629504,35.513295,0
Southern New Hampshire University,Manchester,New Hampshire,Northeast-10 Conference,D2,NH,Southern New Hampshire University,Manchester,NH,00258000,0.9354,,50505.0,-71.451842,43.038922,0
Southern Wesleyan University,Central,South Carolina,Conference Carolinas,D2,SC,Southern Wesleyan University,Central,SC,00342200,0.5575,1079.0,35949.0,-82.761586,34.728068,0
Southwest Baptist University,Bolivar,Missouri,Great Lakes Valley Conference,D2,MO,Southwest Baptist University,Bolivar,MO,00250200,0.7335,1110.0,35243.0,-93.407056,37.602425,0
Spring Hill College,Mobile,Alabama,Gulf South Conference,D2,AL,Spring Hill College,Mobile,AL,00104100,0.5416,1125.0,55844.0,-88.138199,30.694751,0
University of Tampa,Tampa,Florida,Sunshine State Conference,D2,FL,The University of Tampa,Tampa,FL,00153800,0.5551,1174.0,46341.0,-82.46483,27.948455,0
Texas A&M International University,Laredo,Texas,Lone Star Conference,D2,TX,Texas A & M International University,Laredo,TX,00965100,0.5893,995.0,13408.0,-99.436043,27.571172,0
University of Texas Permian Basin,Odessa,Texas,Lone Star Conference,D2,TX,The University of Texas Permian Basin,Odessa,TX,00993000,0.879,1015.0,17323.0,-102.329634,31.889509,0
University of Texas at Tyler,Tyler,Texas,Lone Star Conference,D2,TX,The University of Texas at Tyler,Tyler,TX,01116300,0.9163,1135.0,20730.0,-95.254337,32.315772,0
Thomas Jefferson University,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,D2,PA,Thomas Jefferson University,Philadelphia,PA,01239300,0.6984,1179.0,60290.0,-75.158266,39.948274,0
Thomas More University,Crestview Hills,Kentucky,Great Midwest Athletic Conference,D2,KY,Thomas More University,Crestview Hills,KY,00200100,0.9191,,42003.0,-84.568923,39.022963,0
Tiffin University,Tiffin,Ohio,Great Midwest Athletic Conference,D2,OH,Tiffin University,Tiffin,OH,00312100,0.6247,,41055.0,-83.184197,41.118316,0
Trevecca Nazarene University,Nashville,Tennessee,Great Midwest Athletic Conference,D2,TN,Trevecca Nazarene University,Nashville,TN,00352600,0.6283,1138.0,34473.0,-86.754238,36.141324,0
Truman State University,Kirksville,Missouri,Great Lakes Valley Conference,D2,MO,Truman State University,Kirksville,MO,00249500,0.721,1278.0,21640.0,-92.581658,40.188267,0
Tusculum College,Greeneville,Tennessee,South Atlantic Conference,D2,TN,Tusculum University,Greeneville,TN,00352700,0.6715,1067.0,39440.0,-82.760818,36.172435,0
Union University,Jackson,Tennessee,Gulf South Conference,D2,TN,Union University,Jackson,TN,00352800,0.5753,1242.0,54324.0,-88.858524,35.676896,0
Upper Iowa University,Fayette,Iowa,Great Lakes Valley Conference,D2,IA,Upper Iowa University,Fayette,IA,00189300,0.653,1035.0,45237.0,-91.799543,42.838283,0
Walsh University,North Canton,Ohio,Great Midwest Athletic Conference,D2,OH,Walsh University,North Canton,OH,00313500,0.7656,1126.0,42869.0,-81.369931,40.873908,0
University of West Alabama,Livingston,Alabama,Gulf South Conference,D2,AL,University of West Alabama,Livingston,AL,00102400,0.9313,1035.0,22645.0,-88.186329,32.588132,0
University of West Florida,Pensacola,Florida,Gulf South Conference,D2,FL,The University of West Florida,Pensacola,FL,00395500,0.5756,1168.0,17716.0,-87.218511,30.549076,0
West Liberty University,West Liberty,West Virginia,Mountain East Conference,D2,WV,West Liberty University,West Liberty,WV,00382300,0.6844,1039.0,22361.0,-80.602256,40.164417,0
West Texas A&M University,Canyon,Texas,Lone Star Conference,D2,TX,West Texas A & M University,Canyon,TX,00366500,0.5825,1046.0,20456.0,-101.914736,34.982789,0
West Virginia Wesleyan College,Buckhannon,West Virginia,Mountain East Conference,D2,WV,West Virginia Wesleyan College,Buckhannon,WV,00383000,0.6572,1020.0,46187.0,-80.218969,38.990661,0
Western Washington University,Bellingham,Washington,Great Northwest Athletic Conference,D2,WA,Western Washington University,Bellingham,WA,00380200,0.9351,1184.0,24465.0,-122.485734,48.737812,0
Westminster College,Salt Lake City,Utah,Rocky Mountain Athletic Conference,D2,UT,Westminster College,Salt Lake City,UT,00368100,0.8745,1205.0,49060.0,-111.855757,40.730779,0
Westmont College,Santa Barbara,California,Pacific West Conference,D2,CA,Westmont College,Santa Barbara,CA,00134100,0.7016,1259.0,64240.0,-119.662517,34.450151,0
Wheeling University,Wheeling,West Virginia,Mountain East Conference,D2,WV,Wheeling University,Wheeling,WV,00383100,0.7682,1009.0,41651.0,-80.690804,40.070873,0
William Jewell College,Liberty,Missouri,Great Lakes Valley Conference,D2,MO,William Jewell College,Liberty,MO,00252400,0.364,1168.0,49150.0,-94.413126,39.247844,0
Wilmington University,New Castle,Delaware,Central Atlantic Collegiate Conference,D2,DE,Wilmington University,New Castle,DE,00794800,,,18524.0,-75.586998,39.682299,0
Wingate University,Wingate,North Carolina,South Atlantic Conference,D2,NC,Wingate University,Wingate,NC,00298500,0.7327,,49769.0,-80.44305,34.986064,0
University of Wisconsin–Parkside,Kenosha,Wisconsin,Great Lakes Valley Conference,D2,WI,University of Wisconsin-Parkside,Kenosha,WI,00501500,0.6631,1050.0,16320.0,-87.855231,42.647718,1
Young Harris College,Young Harris,Georgia,Conference Carolinas,D2,GA,Young Harris College,Young Harris,GA,00160400,0.6503,1065.0,44203.0,-83.84587,34.933523,0
Adrian College,Adrian,Michigan,Michigan Intercollegiate Athletic Association,D3,MI,Adrian College,Adrian,MI,00223400,0.6121,1043.0,54621.0,-84.061481,41.898591,0
Agnes Scott College,Decatur,Georgia,Collegiate Conference of the South,D3,GA,Agnes Scott College,Decatur,GA,00154200,0.6752,,55403.0,-84.295459,33.769268,0
Albertus Magnus College,New Haven,Connecticut,Great Northeast Athletic Conference,D3,CT,Albertus Magnus College,New Haven,CT,00137400,0.8126,,49375.0,-72.923848,41.332519,0
Albion College,Albion,Michigan,Michigan Intercollegiate Athletic Association,D3,MI,Albion College,Albion,MI,00223500,0.7444,1062.0,62041.0,-84.745639,42.245049,0
Albright College,Reading,Pennsylvania,MAC Commonwealth,D3,PA,Albright College,Reading,PA,00322900,0.821,,40300.0,-75.909742,40.361351,0
Alfred University,Alfred,New York,Empire 8,D3,NY,Alfred University,Alfred,NY,00266800,0.6411,1102.0,50643.0,-77.788106,42.254476,0
Allegheny College,Meadville,Pennsylvania,Presidents' Athletic Conference,D3,PA,Allegheny College,Meadville,PA,00323000,0.7315,1260.0,64901.0,-80.147168,41.64869,0
Alma College,Alma,Michigan,Michigan Intercollegiate Athletic Association,D3,MI,Alma College,Alma,MI,00223600,0.6673,,55662.0,-84.672053,43.38004,0
Alvernia University,Reading,Pennsylvania,MAC Commonwealth,D3,PA,Alvernia University,Reading,PA,00323300,0.7002,,49990.0,-75.936754,40.310028,0
Alverno College,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference,D3,WI,Alverno College,Milwaukee,WI,00383200,0.7823,,40724.0,-87.965174,42.982842,0
Amherst College,Amherst,Massachusetts,New England Small College Athletic Conference,D3,MA,Amherst College,Amherst,MA,00211500,0.1183,1497.0,76750.0,-72.518493,42.372459,0
Anderson University,Anderson,Indiana,Heartland Collegiate Athletic Conference,D3,IN,Anderson University,Anderson,IN,00178500,0.665,1071.0,44342.0,-85.664315,40.112768,0
Anna Maria College,Paxton,Massachusetts,Great Northeast Athletic Conference,D3,MA,Anna Maria College,Paxton,MA,00211700,0.8607,,52919.0,-71.91896,42.330542,0
Arcadia University,Glenside,Pennsylvania,MAC Freedom,D3,PA,Arcadia University,Glenside,PA,00323500,0.7363,1138.0,59684.0,-75.163876,40.092606,0
Asbury University,Wilmore,Kentucky,Independent,D3,KY,Asbury University,Wilmore,KY,00195200,0.7515,1203.0,42462.0,-84.662606,37.862029,0
Augsburg University,Minneapolis,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN,Augsburg University,Minneapolis,MN,00233400,0.7312,1050.0,54069.0,-93.240436,44.966307,0
Augustana College,Rock Island,Illinois,College Conference of Illinois and Wisconsin,D3,IL,Augustana College,Rock Island,IL,00163300,0.5735,,55924.0,-90.55057,41.502365,0
Aurora University,Aurora,Illinois,Northern Athletics Collegiate Conference,D3,IL,Aurora University,Aurora,IL,00163400,0.8395,1066.0,35658.0,-88.349023,41.753631,0
Austin College,Sherman,Texas,Southern Collegiate Athletic Conference,D3,TX,Austin College,Sherman,TX,00354300,0.4928,1220.0,56377.0,-96.596331,33.646345,0
Averett University,Danville,Virginia,Old Dominion Athletic Conference,D3,VA,Averett University,Danville,VA,00370200,0.6768,984.0,47321.0,-79.413203,36.577287,0
Babson College,Wellesley,Massachusetts,New England Women's and Men's Athletic Conference,D3,MA,Babson College,Wellesley,MA,00212100,0.2697,1361.0,72378.0,-71.264057,42.297017,0
Baldwin Wallace University,Berea,Ohio,Ohio Athletic Conference,D3,OH,Baldwin Wallace University,Berea,OH,00301400,0.6982,1176.0,48655.0,-81.851145,41.373017,0
Bard College,Annandale-on-Hudson,New York,Liberty League,D3,NY,Bard College,Annandale-On-Hudson,NY,00267100,0.5741,,74464.0,-73.909927,42.020386,0
Bates College,Lewiston,Maine,New England Small College Athletic Conference,D3,ME,Bates College,Lewiston,ME,00203600,0.141,,73538.0,-70.203333,44.105299,0
Belhaven University,Jackson,Mississippi,Collegiate Conference of the South,D3,MS,Belhaven University,Jackson,MS,00239700,0.4954,1083.0,35975.0,-90.169228,32.318415,0
Beloit College,Beloit,Wisconsin,Midwest Conference,D3,WI,Beloit College,Beloit,WI,00383500,0.5834,,63398.0,-89.029285,42.504022,0
Benedictine University,Lisle,Illinois,Northern Athletics Collegiate Conference,D3,IL,Benedictine University,Lisle,IL,00176700,0.6099,1097.0,46006.0,-88.097307,41.777569,0
Berea College,Berea,Kentucky,Collegiate Conference of the South,D3,KY,Berea College,Berea,KY,00195500,0.3296,1189.0,54866.0,-84.292893,37.57202,0
Berry College,Mount Berry,Georgia,Southern Athletic Association,D3,GA,Berry College,Mount Berry,GA,00155400,0.7722,,52966.0,-85.189202,34.290414,0
Bethany College,Bethany,West Virginia,Presidents' Athletic Conference,D3,WV,Bethany College,Bethany,WV,00380800,0.9184,989.0,45570.0,-80.560056,40.205819,0
Bethany Lutheran College,Mankato,Minnesota,Upper Midwest Athletic Conference,D3,MN,Bethany Lutheran College,Mankato,MN,00233700,0.6451,,38528.0,-93.990805,44.166649,0
Bethel University,Arden Hills,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN,Bethel University,Saint Paul,MN,00905800,0.8663,1203.0,52723.0,-93.161663,45.057655,0
Birmingham–Southern College,Birmingham,Alabama,Southern Athletic Association,D3,AL,Birmingham-Southern College,Birmingham,AL,00101200,0.6045,1202.0,32514.0,-86.850552,33.513774,1
Blackburn College,Carlinville,Illinois,St. Louis Intercollegiate Athletic Conference,D3,IL,Blackburn College,Carlinville,IL,00163900,0.5518,1006.0,32584.0,-89.870241,39.287896,0
Bluffton University,Bluffton,Ohio,Heartland Collegiate Athletic Conference,D3,OH,Bluffton University,Bluffton,OH,00301600,0.6051,,48205.0,-83.899439,40.895606,0
Bob Jones University,Greenville,South Carolina,Independent,D3,SC,Bob Jones University,Greenville,SC,00342100,,,28498.0,-82.365838,34.874016,0
Bowdoin College,Brunswick,Maine,New England Small College Athletic Conference,D3,ME,Bowdoin College,Brunswick,ME,00203800,0.0916,,73800.0,-69.963942,43.907134,0
Brandeis University,Waltham,Massachusetts,University Athletic Association,D3,MA,Brandeis University,Waltham,MA,00213300,0.334,1424.0,76044.0,-71.260155,42.365727,0
Brevard College,Brevard,North Carolina,USA South Athletic Conference,D3,NC,Brevard College,Brevard,NC,00291200,0.4524,,43036.0,-82.729494,35.236763,0
Bridgewater College,Bridgewater,Virginia,Old Dominion Athletic Conference,D3,VA,Bridgewater College,Bridgewater,VA,00370400,0.7614,1082.0,51725.0,-78.969007,38.378484,0
Bridgewater State University,Bridgewater,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,MA,Bridgewater State University,Bridgewater,MA,00218300,0.8231,1049.0,23845.0,-70.974553,41.98749,0
Bryn Mawr College,Bryn Mawr,Pennsylvania,Centennial Conference,D3,PA,Bryn Mawr College,Bryn Mawr,PA,00323700,0.3836,,73540.0,-75.313223,40.02736,0
Buena Vista University,Storm Lake,Iowa,American Rivers Conference,D3,IA,Buena Vista University,Storm Lake,IA,00184700,0.5568,,48297.0,-95.208529,42.642255,0
Cabrini University,Radnor,Pennsylvania,Atlantic East Conference,D3,PA,Cabrini University,Radnor,PA,00324100,0.6167,1036.0,46293.0,-75.375263,40.056355,0
California Institute of Technology,Pasadena,California,Southern California Intercollegiate Athletic Conference,D3,CA,California Institute of Technology,Pasadena,CA,00113100,0.0669,1566.0,74763.0,-118.125878,34.137349,0
California Lutheran University,Thousand Oaks,California,Southern California Intercollegiate Athletic Conference,D3,CA,California Lutheran University,Thousand Oaks,CA,00113300,0.7439,1159.0,60668.0,-118.878924,34.224566,0
"University of California, Santa Cruz",Santa Cruz,California,Coast to Coast Athletic Conference,D3,CA,University of California-Santa Cruz,Santa Cruz,CA,00132100,0.6473,1284.0,35925.0,-122.058801,36.995584,0
Calvin University,Grand Rapids,Michigan,Michigan Intercollegiate Athletic Association,D3,MI,Calvin University,Grand Rapids,MI,00224100,0.7321,1229.0,50191.0,-85.587548,42.929916,0
Capital University,Bexley,Ohio,Ohio Athletic Conference,D3,OH,Capital University,Columbus,OH,00302300,0.7406,,47719.0,-82.937867,39.954875,0
Carleton College,Northfield,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN,Carleton College,Northfield,MN,00234000,0.2118,1438.0,74275.0,-93.154666,44.462318,0
Carnegie Mellon University,Pittsburgh,Pennsylvania,University Athletic Association,D3,PA,Carnegie Mellon University,Pittsburgh,PA,00324200,0.1727,1513.0,74489.0,-79.941993,40.44357,0
Carroll University,Waukesha,Wisconsin,College Conference of Illinois and Wisconsin,D3,WI,Carroll University,Waukesha,WI,00383800,0.7177,1165.0,45227.0,-88.228114,43.004527,0
Carthage College,Kenosha,Wisconsin,College Conference of Illinois and Wisconsin,D3,WI,Carthage College,Kenosha,WI,00383900,0.7663,1148.0,59175.0,-87.820924,42.622969,0
Case Western Reserve University,Cleveland,Ohio,University Athletic Association,D3,OH,Case Western Reserve University,Cleveland,OH,00302400,0.3027,1445.0,69526.0,-81.609596,41.507419,0
Castleton University,Castleton,Vermont,Little East Conference,D3,VT,Castleton University,Castleton,VT,00368300,0.8831,1036.0,24841.0,-73.180842,43.608397,0
Catholic University of America,Washington,District of Columbia,Landmark Conference,D3,DC,The Catholic University of America,Washington,DC,00143700,0.8223,,65857.0,-76.997909,38.933651,0
Cazenovia College,Cazenovia,New York,North Atlantic Conference,D3,NY,Cazenovia College,Cazenovia,NY,00268500,0.7218,1003.0,51761.0,-75.854882,42.932489,0
Cedar Crest College,Allentown,Pennsylvania,Colonial States Athletic Conference,D3,PA,Cedar Crest College,Allentown,PA,00324300,0.5246,1072.0,52279.0,-75.519221,40.586318,0
Centenary College of Louisiana,Shreveport,Louisiana,Southern Collegiate Athletic Conference,D3,LA,Centenary College of Louisiana,Shreveport,LA,00200300,0.6369,1191.0,55300.0,-93.730834,32.483335,0
Centenary University,Hackettstown,New Jersey,Colonial States Athletic Conference,D3,NJ,Centenary University,Hackettstown,NJ,00259900,0.93,997.0,44856.0,-74.833644,40.84764,0
Central College,Pella,Iowa,American Rivers Conference,D3,IA,Central College,Pella,IA,00185000,0.6368,1116.0,53402.0,-92.922199,41.401539,0
Centre College,Danville,Kentucky,Southern Athletic Association,D3,KY,Centre College,Danville,KY,00196100,0.7208,1325.0,56645.0,-84.779392,37.645709,0
Chapman University,Orange,California,Southern California Intercollegiate Athletic Conference,D3,CA,Chapman University,Orange,CA,00116400,0.5826,1275.0,74336.0,-117.852518,33.79302,0
Chatham University,Pittsburgh,Pennsylvania,Presidents' Athletic Conference,D3,PA,Chatham University,Pittsburgh,PA,00324400,0.6619,,52968.0,-79.926083,40.448432,0
University of Chicago,Chicago,Illinois,University Athletic Association,D3,IL,University of Chicago,Chicago,IL,00177400,0.0731,1537.0,81531.0,-87.599539,41.787994,0
Christopher Newport University,Newport News,Virginia,Coast to Coast Athletic Conference,D3,VA,Christopher Newport University,Newport News,VA,00370600,0.7642,,31733.0,-76.494364,37.062495,0
Clark University,Worcester,Massachusetts,New England Women's and Men's Athletic Conference,D3,MA,Clark University,Worcester,MA,00213900,0.4713,1271.0,58153.0,-71.823356,42.249987,0
Clarks Summit University,Clarks Summit,Pennsylvania,Colonial States Athletic Conference,D3,PA,Clarks Summit University,Clarks Summit,PA,00267000,0.6189,,33826.0,-75.685472,41.495062,0
Clarkson University,Potsdam,New York,Liberty League,D3,NY,Clarkson University,Potsdam,NY,00269900,0.7799,1259.0,69456.0,-74.999359,44.662716,0
Coe College,Cedar Rapids,Iowa,American Rivers Conference,D3,IA,Coe College,Cedar Rapids,IA,00185400,0.7986,,58857.0,-91.658192,41.988263,0
Colby College,Waterville,Maine,New England Small College Athletic Conference,D3,ME,Colby College,Waterville,ME,00203900,0.1027,1456.0,73600.0,-69.66337,44.564211,0
Colby–Sawyer College,New London,New Hampshire,Great Northeast Athletic Conference,D3,NH,Colby-Sawyer College,New London,NH,00257200,0.91,,61418.0,-71.975805,43.411663,1
Colorado College,Colorado Springs,Colorado,Southern Collegiate Athletic Conference,D3,CO,Colorado College,Colorado Springs,CO,00134700,0.136,,74760.0,-104.822697,38.84886,0
Concordia University Chicago,River Forest,Illinois,Northern Athletics Collegiate Conference,D3,IL,Concordia University-Chicago,River Forest,IL,00166600,0.7854,1099.0,42750.0,-87.809482,41.898696,0
Concordia University Texas,Austin,Texas,American Southwest Conference,D3,TX,Concordia University Texas,Austin,TX,00355700,0.9295,1086.0,47251.0,-97.835703,30.420232,0
Concordia University Wisconsin,Mequon,Wisconsin,Northern Athletics Collegiate Conference,D3,WI,Concordia University-Wisconsin,Mequon,WI,00384200,0.6727,1138.0,45936.0,-87.91552,43.253387,0
Connecticut College,New London,Connecticut,New England Small College Athletic Conference,D3,CT,University of Connecticut,Storrs,CT,00141700,0.6379,1222.0,33896.0,-72.249948,41.809098,0
Cornell College,Mount Vernon,Iowa,Midwest Conference,D3,IA,Cornell College,Mount Vernon,IA,00185600,0.8241,1224.0,58201.0,-91.423741,41.924554,0
Covenant College,Lookout Mountain,Georgia,Collegiate Conference of the South,D3,GA,Covenant College,Lookout Mountain,GA,00348400,0.9755,1209.0,49420.0,-85.375066,34.965161,0
Crown College,St. Bonifacius,Minnesota,Upper Midwest Athletic Conference,D3,MN,Crown College,Saint Bonifacius,MN,00238300,0.4689,1063.0,41227.0,-93.743019,44.885393,0
Curry College,Milton,Massachusetts,Commonwealth Coast Conference,D3,MA,Curry College,Milton,MA,00214300,0.9271,1055.0,57260.0,-71.116539,42.238061,0
University of Dallas,Irving,Texas,Southern Collegiate Athletic Conference,D3,TX,Dallas College,Dallas,TX,00445300,,,10819.0,-96.794036,32.766319,0
Dean College,Franklin,Massachusetts,Great Northeast Athletic Conference,D3,MA,Dean College,Franklin,MA,00214400,0.7052,,59018.0,-71.397813,42.085634,0
Defiance College,Defiance,Ohio,Heartland Collegiate Athletic Conference,D3,OH,Defiance College,Defiance,OH,00304100,0.5492,1005.0,46420.0,-84.357075,41.296842,0
Delaware Valley University,Doylestown,Pennsylvania,MAC Freedom,D3,PA,Delaware Valley University,Doylestown,PA,00325200,0.9158,1052.0,56828.0,-75.158452,40.298659,0
Denison University,Granville,Ohio,North Coast Athletic Conference,D3,OH,Denison University,Granville,OH,00304200,0.2817,1350.0,69128.0,-82.523272,40.071505,0
DePauw University,Greencastle,Indiana,North Coast Athletic Conference,D3,IN,DePauw University,Greencastle,IN,00179200,0.6849,1235.0,66946.0,-86.860363,39.640904,0
DeSales University,Center Valley,Pennsylvania,MAC Freedom,D3,PA,DeSales University,Center Valley,PA,00398600,0.8177,1139.0,54300.0,-75.375608,40.539091,0
Dickinson College,Carlisle,Pennsylvania,Centennial Conference,D3,PA,Dickinson College,Carlisle,PA,00325300,0.5165,,73650.0,-77.197854,40.202796,0
Dominican University,River Forest,Illinois,Northern Athletics Collegiate Conference,D3,IL,Dominican University,River Forest,IL,00175000,0.7646,1072.0,43228.0,-87.823003,41.902678,0
Drew University,Madison,New Jersey,Landmark Conference,D3,NJ,Drew University,Madison,NJ,00260300,0.7315,,58116.0,-74.424584,40.761829,0
University of Dubuque,Dubuque,Iowa,American Rivers Conference,D3,IA,University of Dubuque,Dubuque,IA,00189100,0.7863,1010.0,47188.0,-90.693428,42.49726,0
Earlham College,Richmond,Indiana,Heartland Collegiate Athletic Conference,D3,IN,Earlham College,Richmond,IN,00179300,0.591,1236.0,61156.0,-84.915037,39.823431,0
East Texas Baptist University,Marshall,Texas,American Southwest Conference,D3,TX,East Texas Baptist University,Marshall,TX,00356400,0.9207,,38749.0,-94.374488,32.557847,0
Eastern Connecticut State University,Willimantic,Connecticut,Little East Conference,D3,CT,Eastern Connecticut State University,Willimantic,CT,00142500,0.697,,27425.0,-72.218753,41.721673,0
Eastern Mennonite University,Harrisonburg,Virginia,Old Dominion Athletic Conference,D3,VA,Eastern Mennonite University,Harrisonburg,VA,00370800,0.7182,1129.0,51275.0,-78.880326,38.471134,0
Eastern Nazarene College,Quincy,Massachusetts,New England Collegiate Conference(North Atlantic Conference in 2023),D3,MA,Eastern Nazarene College,Quincy,MA,00214500,0.6438,1030.0,41194.0,-71.011079,42.271228,0
Eastern University,St. Davids,Pennsylvania,MAC Commonwealth,D3,PA,Eastern University,Saint Davids,PA,00325900,0.6425,1104.0,48828.0,-75.370316,40.050448,0
Edgewood College,Madison,Wisconsin,Northern Athletics Collegiate Conference,D3,WI,Edgewood College,Madison,WI,00384800,0.912,,44826.0,-89.422884,43.057059,0
Elizabethtown College,Elizabethtown,Pennsylvania,Landmark Conference,D3,PA,Elizabethtown College,Elizabethtown,PA,00326200,0.8573,1176.0,44978.0,-76.593224,40.149236,0
Elmhurst University,Elmhurst,Illinois,College Conference of Illinois and Wisconsin,D3,IL,Elmhurst University,Elmhurst,IL,00167600,0.6553,1096.0,48429.0,-87.945369,41.897164,0
Elmira College,Elmira,New York,Empire 8,D3,NY,Elmira College,Elmira,NY,00271800,0.8313,1103.0,48133.0,-76.813459,42.0961,0
Emerson College,Boston,Massachusetts,New England Women's and Men's Athletic Conference,D3,MA,Emerson College,Boston,MA,00214600,0.4105,1302.0,72119.0,-71.065384,42.352202,0
Emmanuel College,Boston,Massachusetts,Great Northeast Athletic Conference,D3,MA,Emmanuel College,Boston,MA,00214700,0.7552,1202.0,58787.0,-71.103634,42.340602,0
Emory University,Atlanta,Georgia,University Athletic Association,D3,GA,Emory University,Atlanta,GA,00156400,0.2103,1454.0,72604.0,-84.325512,33.790183,0
Endicott College,Beverly,Massachusetts,Commonwealth Coast Conference,D3,MA,Endicott College,Beverly,MA,00214800,0.704,,52642.0,-70.840847,42.553296,0
Eureka College,Eureka,Illinois,St. Louis Intercollegiate Athletic Conference,D3,IL,Eureka College,Eureka,IL,00167800,0.6136,1026.0,37986.0,-89.269624,40.71482,0
"Fairleigh Dickinson University, Florham",Madison/Florham Park,New Jersey,MAC Freedom,D3,NJ,Fairleigh Dickinson University-Florham Campus,Madison,NJ,00260701,0.8749,,59190.0,-74.432121,40.774498,0
