School,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude,WikidataID,Score
Pickens Technical College,1287500.0,,,13796.0,-104.789683,39.723705,,
Intellitec College-Colorado Springs,2253700.0,,,,-104.78721,38.832183,,
Intellitec College-Grand Junction,3066900.0,,,,-108.53062,39.116346,,
Empire Beauty School-Thornton,757306.0,,,,-104.94357,39.915253,,
Albertus Magnus College,137400.0,0.8126,,49375.0,-72.923848,41.332519,,
Bais Binyomin Academy,4267800.0,0.7083,,27810.0,-74.078802,41.123013,,
Cortiva Institute,2316600.0,,,,-72.678562,41.604041,,
Porter and Chester Institute of Hamden,730500.0,,,28290.0,-72.931908,41.346568,,
Lincoln Technical Institute-East Windsor,730306.0,,,,-72.596915,41.924248,,
Paul Mitchell the School-North Haven,2112700.0,,,,-72.85745,41.394495,,
Rensselaer at Hartford,280301.0,0.5726,1410.0,,-72.673916,41.773462,,
American Institute-West Hartford,2106600.0,,,,-72.725762,41.727016,,
Lincoln Technical Institute-New Britain,730300.0,,,,-72.754498,41.659236,,
New England Tractor Trailer Training School of Connecticut,2202500.0,,,,-72.450218,41.979699,,
Porter and Chester Institute,1077900.0,,,28757.0,-73.149023,41.169646,,
Stone Academy-West Haven,1242500.0,,,,-72.976966,41.267503,,
Margaret H Rollins School of Nursing at Beebe Medical Center,2125200.0,,,,-75.142864,38.771565,,
Dawn Career Institute LLC,3025800.0,,,,-75.677768,39.668605,,
Delaware Technical Community College-Terry,1172700.0,,,13138.0,-75.56012,39.198371,,
Schilling-Douglas School of Hair Design LLC,2190400.0,,,,-75.74178,39.711442,,
Strayer University-District of Columbia,145900.0,,,,-77.034133,38.904881,,
National Conservatory of Dramatic Arts,2132800.0,1.0,,16417.0,-77.065095,38.910024,,
Atlantic Technical College,1226300.0,,,,-80.192271,26.24278,,
North Florida Technical College,3382300.0,,,,-82.117224,29.952308,,
Broward College,150000.0,,,19007.0,-80.14183,26.119422,,
Albizu University-Miami,1072401.0,0.7977,,40503.0,-80.356315,25.794178,,
Charlotte Technical College,2297000.0,,,15755.0,-82.147238,27.005558,,
Chipola College,147200.0,,,9030.0,-85.23139,30.789228,,
Lorenzo Walker Technical College,1323400.0,,,,-81.763568,26.141141,,
South University-West Palm Beach,1303904.0,,,28179.0,-80.200219,26.69215,,
Florida SouthWestern State College,147700.0,,,14309.0,-81.887102,26.552403,,
Concorde Career Institute-Jacksonville,2089600.0,0.9049,,,-81.581748,30.23886,,
Concorde Career Institute-Miramar,2275100.0,0.9389,,,-80.291516,25.977088,,
Concorde Career Institute-Tampa,2172700.0,0.9436,,,-82.514341,27.959148,,
Florida Institute of Ultrasound Inc,2329900.0,,,,-87.220895,30.524582,,
Florida Career College-Miami,2305800.0,,,,-80.36778,25.756567,,
Florida School of Massage,4129900.0,,,,-82.338273,29.593428,,
Fort Pierce Beauty Academy,2338400.0,,,,-80.325377,27.411962,,
George Stone Technical College,2307400.0,,,,-87.290659,30.487547,,
George T Baker Aviation Technical College,3079800.0,,,,-80.263591,25.804092,,
Gulf Coast State College,149000.0,,,11258.0,-85.727918,30.185542,,
Hollywood Institute of Beauty Careers,4162500.0,,,,-80.209125,26.007139,,
Cortiva Institute,2279600.0,,,,-82.680031,27.793547,,
Indian River State College,149300.0,,,10266.0,-80.358682,27.42416,,
Keiser University-Ft Lauderdale,2151900.0,0.972,,40713.0,-80.163959,26.185869,,
La Belle Beauty School,2287100.0,,,,-80.312711,25.86695,,
Florida Gateway College,150100.0,,,9789.0,-82.5679,30.175298,,
Lake-Sumter State College,150200.0,,,10998.0,-81.797193,28.828649,,
Fort Myers Technical College,755800.0,,,,-81.836596,26.647517,,
Lively Technical College,558500.0,,,,-84.339057,30.448534,,
Lindsey Hopkins Technical College,558600.0,,,,-80.208154,25.794676,,
Loraines Academy & Spa,1016100.0,,,,-82.713964,27.783077,,
State College of Florida-Manatee-Sarasota,150400.0,,,18367.0,-82.590887,27.43804,,
Manatee Technical College,561200.0,,,,-82.481088,27.447894,,
Traviss Technical College,560800.0,,,12676.0,-81.892381,27.995822,,
