School,City,StateCode,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude
Antelope Valley Community College District,Lancaster,CA,111300.0,,,16422.0,-118.186166,34.676207
Art Center College of Design,Pasadena,CA,111600.0,0.7609,,66046.0,-118.185102,34.169031
Associated Technical College-Los Angeles,Los Angeles,CA,902200.0,,,,-118.272364,34.056102
Associated Technical College-San Diego,San Diego,CA,2553500.0,,,,-117.135196,32.773178
Azusa Pacific University,Azusa,CA,111700.0,0.936,,56802.0,-117.888375,34.130047
Bakersfield College,Bakersfield,CA,111800.0,,,13774.0,-118.973753,35.40911
Barstow Community College,Barstow,CA,111900.0,,,16983.0,-117.023412,34.870285
Bellus Academy-Chula Vista,Chula Vista,CA,705000.0,,,,-117.083738,32.614773
Bethesda University,Anaheim,CA,3266300.0,,,22453.0,-117.941323,33.842295
Biola University,La Mirada,CA,112200.0,0.6438,1196.0,58012.0,-118.014374,33.906203
Brownson Technical School,Anaheim,CA,2543400.0,,,,-117.905774,33.819032
Bryan University,Tempe,AZ,716400.0,,,21134.0,-111.944197,33.437779
Butte College,Oroville,CA,807300.0,,,13806.0,-121.644831,39.649782
California Institute of Integral Studies,San Francisco,CA,1215400.0,,,,-122.416102,37.774924
Cabrillo College,Aptos,CA,112400.0,,,19207.0,-121.924797,36.989448
California Baptist University,Riverside,CA,112500.0,0.8018,1064.0,48731.0,-117.425619,33.929321
California College of the Arts,San Francisco,CA,112700.0,0.8545,,68956.0,-122.399451,37.767485
University of California-Hastings College of Law,San Francisco,CA,394700.0,,,,-122.4157,37.781137
California Institute of Technology,Pasadena,CA,113100.0,0.0669,1566.0,74763.0,-118.125878,34.137349
California Lutheran University,Thousand Oaks,CA,113300.0,0.7439,1159.0,60668.0,-118.878924,34.224566
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,114300.0,0.3843,1325.0,28927.0,-120.657311,35.299513
Alliant International University-San Diego,San Diego,CA,1111700.0,0.381,,,-117.094398,32.897056
California State University-Bakersfield,Bakersfield,CA,799300.0,0.7838,,18661.0,-119.104711,35.350005
California State University-Stanislaus,Turlock,CA,115700.0,0.8932,,17424.0,-120.852511,37.52577
California State University-San Bernardino,San Bernardino,CA,114200.0,0.7812,988.0,19114.0,-117.323801,34.182622
California State Polytechnic University-Pomona,Pomona,CA,114400.0,0.6481,1134.0,22365.0,-117.821476,34.057912
California State University-Chico,Chico,CA,114600.0,0.9017,1073.0,25073.0,-121.844859,39.729712
California State University-Dominguez Hills,Carson,CA,114100.0,0.812,,15019.0,-118.255917,33.864766
California State University-Fresno,Fresno,CA,114700.0,0.9011,996.0,17683.0,-119.744569,36.811154
California State University-Fullerton,Fullerton,CA,113700.0,0.6762,1085.0,17791.0,-117.885446,33.881506
California State University-East Bay,Hayward,CA,113800.0,0.7328,,23357.0,-122.054135,37.657694
California State University-Long Beach,Long Beach,CA,113900.0,0.4212,1133.0,19846.0,-118.11204,33.782818
California State University-Los Angeles,Los Angeles,CA,114000.0,0.7648,964.0,15307.0,-118.168965,34.066927
California State University-Northridge,Northridge,CA,115300.0,0.6581,1006.0,19794.0,-118.529319,34.240126
California State University-Sacramento,Sacramento,CA,115000.0,0.8309,1033.0,21576.0,-121.423549,38.559415
University of California-Berkeley,Berkeley,CA,131200.0,0.1748,1437.0,39016.0,-122.260463,37.871918
University of California-Davis,Davis,CA,131300.0,0.4635,1299.0,35532.0,-121.749567,38.539667
University of California-Irvine,Irvine,CA,131400.0,0.2992,1339.0,34355.0,-117.841248,33.648434
University of California-Los Angeles,Los Angeles,CA,131500.0,0.1433,,35497.0,-118.442179,34.07178
University of California-Riverside,Riverside,CA,131600.0,0.6578,1200.0,30561.0,-117.32741,33.97246
University of California-San Diego,La Jolla,CA,131700.0,0.3661,1387.0,33240.0,-117.235866,32.877749
University of California-San Francisco,San Francisco,CA,131900.0,,,,-122.458489,37.763737
University of California-Santa Barbara,Santa Barbara,CA,132000.0,0.367,1369.0,36492.0,-119.846426,34.416297
University of California-Santa Cruz,Santa Cruz,CA,132100.0,0.6473,1284.0,35925.0,-122.058801,36.995584
Sofia University,Palo Alto,CA,2267600.0,,,,-122.10866,37.430325
California Beauty School,Modesto,CA,2065700.0,,,,-120.99689,37.645217
California Christian College,Fresno,CA,884400.0,1.0,,15210.0,-119.711123,36.749366
Haven University,Garden Grove,CA,4274800.0,,,,-117.939412,33.777392
California Hair Design Academy,La Mesa,CA,1186500.0,,,,-117.024261,32.765221
California Institute of the Arts,Valencia,CA,113200.0,0.2742,,74111.0,-118.566837,34.39327
California State University Maritime Academy,Vallejo,CA,113400.0,0.8249,,28149.0,-122.231551,38.069061
California Western School of Law,San Diego,CA,1310300.0,,,,-117.162416,32.722192
Canada College,Redwood City,CA,697300.0,,,9662.0,-122.265398,37.44877
College of the Canyons,Santa Clarita,CA,890300.0,,,11774.0,-118.568698,34.403993
Career Academy of Beauty,Garden Grove,CA,2125000.0,,,,-118.031697,33.781018
Casa Loma College-Van Nuys,Van Nuys,CA,673100.0,,,,-118.457781,34.192829
CET-San Diego,San Diego,CA,2332809.0,,,,-117.105328,32.711302
CET-San Jose,San Jose,CA,2332800.0,,,,-121.88698,37.322723
CET-El Centro,El Centro,CA,2332810.0,,,,-115.549079,32.790908
CET-Colton,Colton,CA,2332814.0,,,,-117.353488,34.077381
CET-Watsonville,Watsonville,CA,2332819.0,,,,-121.767991,36.931833
CET-Salinas,Salinas,CA,2332813.0,,,,-121.65236,36.707333
Cerritos College,Norwalk,CA,116100.0,,,9395.0,-118.097337,33.886874
Cerro Coso Community College,Ridgecrest,CA,1011100.0,,,17346.0,-117.66767,35.567525
Chabot College,Hayward,CA,116200.0,,,12377.0,-122.105636,37.642458
Chaffey College,Rancho Cucamonga,CA,116300.0,,,18264.0,-117.573932,34.147663
Chapman University,Orange,CA,116400.0,0.5826,1275.0,74336.0,-117.852518,33.79302
Charles R Drew University of Medicine and Science,Los Angeles,CA,1036500.0,0.25,,33171.0,-118.242791,33.925658
Concordia University-Irvine,Irvine,CA,2070500.0,0.7818,1128.0,53235.0,-117.812305,33.653665
San Diego Christian College,Santee,CA,1203100.0,0.4967,1016.0,47755.0,-116.978112,32.842404
Church Divinity School of the Pacific,Berkeley,CA,116500.0,,,,-122.261122,37.876184
Citrus College,Glendora,CA,116600.0,,,12322.0,-117.886469,34.13537
Citrus Heights Beauty College,Citrus Heights,CA,2178700.0,,,,-121.289529,38.712951
City College of San Francisco,San Francisco,CA,450200.0,,,14724.0,-122.451155,37.725953
Claremont Graduate University,Claremont,CA,116900.0,,,,-117.713703,34.103585
Claremont McKenna College,Claremont,CA,117000.0,0.1334,1436.0,76475.0,-117.711188,34.102154
Milan Institute-Visalia,Visalia,CA,2497300.0,,,,-119.312151,36.27164
Clovis Adult Education,Clovis,CA,2309500.0,,,,-119.690369,36.834459
Coastline Community College,Fountain Valley,CA,2063500.0,,,16142.0,-117.929143,33.715634
University of Silicon Valley,San Jose,CA,117700.0,0.4194,,32382.0,-121.94087,37.414049
Coba Academy,Anaheim,CA,3577300.0,,,,-117.943108,33.841141
Western University of Health Sciences,Pomona,CA,2482700.0,,,,-117.747732,34.058092
Columbia College,Sonora,CA,770700.0,,,14989.0,-120.388385,38.030367
Columbia College Hollywood,Tarzana,CA,2110200.0,,,35331.0,-118.538793,34.17972
Compton College,Compton,CA,4281700.0,,,16383.0,-118.209463,33.878226
Contra Costa College,San Pablo,CA,119000.0,,,13667.0,-122.337377,37.969381
Cosumnes River College,Sacramento,CA,753600.0,,,11035.0,-121.423108,38.45295
Crafton Hills College,Yucaipa,CA,927200.0,,,24369.0,-117.101173,34.039178
Cuesta College,San Luis Obispo,CA,119200.0,,,18498.0,-120.742235,35.331276
Cuyamaca College,El Cajon,CA,2111300.0,,,12722.0,-116.943507,32.744954
Cypress College,Cypress,CA,119300.0,,,13711.0,-118.025143,33.82833
De Anza College,Cupertino,CA,448000.0,,,12838.0,-122.045783,37.319914
International School of Beauty Inc,Palm Desert,CA,3964400.0,,,,-116.403928,33.729555
Dell'Arte International School of Physical Theatre,Blue Lake,CA,3025600.0,,,24217.0,-123.988808,40.880924
College of the Desert,Palm Desert,CA,118200.0,,,19432.0,-116.388271,33.732108
Design Institute of San Diego,San Diego,CA,2298000.0,1.0,,42928.0,-117.167374,32.880926
Diablo Valley College,Pleasant Hill,CA,119100.0,,,13754.0,-122.073142,37.968516
Dominican University of California,San Rafael,CA,119600.0,0.8574,1162.0,67366.0,-122.512051,37.981279
Dominican School of Philosophy & Theology,Berkeley,CA,129600.0,,,,-122.264612,37.881099
East Los Angeles College,Monterey Park,CA,2226000.0,,,18405.0,-118.148785,34.040531
El Camino Community College District,Torrance,CA,119700.0,,,18895.0,-118.329913,33.885229
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,2609000.0,,,,-118.485119,34.030438
Empire College,Santa Rosa,CA,903200.0,,,,-122.729337,38.468052
Evergreen Valley College,San Jose,CA,1245200.0,,,18639.0,-121.76561,37.30167
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,1111200.0,0.382,,51281.0,-118.25993,34.044209
FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA,1111202.0,0.382,,49998.0,-122.406651,37.786353
Feather River Community College District,Quincy,CA,859700.0,,,17336.0,-120.973067,39.953101
Federico Beauty Institute,Sacramento,CA,725300.0,,,,-121.497761,38.64883
Fielding Graduate University,Santa Barbara,CA,2096100.0,,,,-119.717161,34.42941
Five Branches University,Santa Cruz,CA,3131300.0,,,,-121.998245,36.964348
Redondo Beach Beauty College,Torrance,CA,720900.0,,,,-118.372137,33.873098
